race                         distance   climb   time  gender 
AnTeallach                       10.6   1.062   74.68  1 
ArrocharAlps                     25.0   2.400  187.32  1  
BaddinsgillRound                 16.4   0.650   87.18  1 
BeinnLee                         10.2   0.260   41.58  1  
BeinnRatha                       12.0   0.240   47.75  1 
BeinnResipol                     12.0   0.845   68.20  1 
BenGullipen                      13.5   0.350   49.97  1 
BenLedi                          10.0   0.750   50.08  1 
BenLomond                        12.0   0.970   62.27  1 
BenNevis                         14.0   1.340   85.57  1 
Bennachie                        12.8   0.550   53.85  1 
BenRinnes                        22.4   1.500  113.78  1 
BenVenue                         12.0   0.860   71.53  1 
Black                             8.2   0.240   29.65  1 
Cairnsmore                       12.5   0.700   63.93  1 
CairnTable                        8.0   0.360   30.68  1 
Carnethy                          5.0   0.350   24.45  1           
Chachnaben                       14.0   0.750   62.72  1 
CiochMhor                        13.0   0.690   65.20  1 
Cow                               3.2   0.275   16.93  1 
CraigDunain                       9.0   0.270   39.23  1                    
CreagBeag                         5.0   0.250   25.90  1 
CreagDhubh                        7.0   0.370   26.82  1  
Criffel                          11.0   0.550   47.57  1 
CulterFell                       17.5   1.490  103.17  1
Deuchary                         18.0   0.800   73.73  1
DevilsBurdens                    34.0   1.250  150.68  1
Dollar                           15.0   0.960   71.88  1 
DonardCommedagh                  11.0   1.000   62.32  1
Durisdeer                        16.0   1.200   81.88  1
EildonTwo                         5.8   0.460   25.80  1 
FeelTheBurns                     21.4   0.800   87.87  1
FiveHillsOfFife                  26.0   1.120  126.77  1
Fyrish                           13.0   0.540   61.77  1
GlenClova                        24.0   1.680  154.03  1
GlenRosa                         20.0   1.670  138.33  1
Goatfell                         13.0   0.880   72.18  1 
GreatWilderness                  38.0   0.920  163.65  1
Greenmantle                       3.2   0.200   15.10  1 
HalfNevis                        10.0   0.670   47.65  1 
HighlandFling                    85.0   1.200  439.15  1
IsleOfJura                       28.0   2.370  185.23  1
IsleOfMull                       12.8   1.520  106.03  1
KnockCrieff                       8.0   0.210   28.52  1
Knockfarrel                       8.0   0.360   37.40  1 
LairigGhru                       43.0   0.640  178.17  1  
LargoLaw                         11.0   0.300   43.62  1  
LochLochyMunros                  21.0   1.325  126.48  1
LomondsofFife                    16.0   0.750   82.17  1 
MaddyMoss                        10.0   0.760   47.65  1
ManorWater                       16.0   0.700   67.58  1
MeallABhuachaille                13.0   0.720   60.00  1
Merrick                          13.6   1.000   66.33  1
NorthBerwickLaw                   4.5   0.185   17.88  1 
Ochil                            32.7   1.650  159.28  1
PentlandSkyline                  26.0   1.890  135.87  1
RhenigidaleRace                  12.0   0.840   67.37  1
RunOfTheMill                     14.7   0.910   66.97  1
Scolty                            7.2   0.400   31.50  1 
SevensHillsEdinburgh             22.4   0.670   92.67  1 
SliochHorseshoe                  20.0   1.000  114.28  1
Snowdon                          16.0   0.990   62.48  1
StucAChroin                      22.0   1.500  126.33  1
TraprainLaw                       9.7   0.190   37.43  1  
TrotternishRidge                 28.0   2.000  157.65  1 
TwoBreweries                     29.0   1.500  153.95  1
TwoInns                          24.0   1.770  156.12  1    
Yetholm                          12.8   0.760   60.32  1 
AnTeallach                       10.6   1.062    89.72 0 
ArrocharAlps                     25.0   2.400   222.03 0 
BaddinsgillRound                 16.4   0.650   102.48 0 
BeinnLee                         10.2   0.260    52.52 0 
BeinnRatha                       12.0   0.240    58.78 0  
BeinnResipol                     12.0   0.845    81.38 0 
BenGullipen                      13.5   0.350    56.70 0 
BenLedi                          10.0   0.750    63.55 0 
BenLomond                        12.0   0.970    71.95 0  
BenNevis                         14.0   1.340   103.02 0  
Bennachie                        12.8   0.550    61.42 0 
BenRinnes                        22.4   1.500   138.20 0 
BenVenue                         12.0   0.860    86.35 0 
Black                             8.2   0.240    31.93 0  
Cairnsmore                       12.5   0.700    73.77 0 
CairnTable                        8.0   0.360    37.90 0  
Carnethy                          5.0   0.350    29.35 0            
Chachnaben                       14.0   0.750    78.83 0 
CiochMhor                        13.0   0.690    80.62 0 
Cow                               3.2   0.275    21.63 0  
CraigDunain                       9.0   0.270    45.76 0                     
CreagBeag                         5.0   0.250    31.68 0  
CreagDhubh                        7.0   0.370    32.35 0   
Criffel                          11.0   0.550    56.78 0  
CulterFell                       17.5   1.490   119.27 0 
Deuchary                         18.0   0.800    96.03 0 
DevilsBurdens                    34.0   1.250   165.65 0 
Dollar                           15.0   0.960    84.02 0  
DonardCommedagh                  11.0   1.000    72.85 0 
Durisdeer                        16.0   1.200    94.72 0 
EildonTwo                         5.8   0.460    30.47 0  
FeelTheBurns                     21.4   0.800   103.50 0 
FiveHillsOfFife                  26.0   1.120   176.73 0 
Fyrish                           13.0   0.540    73.37 0 
GlenClova                        24.0   1.680   177.73 0 
GlenRosa                         20.0   1.670   162.28 0 
Goatfell                         13.0   0.880    86.35 0  
GreatWilderness                  38.0   0.920   193.35 0 
Greenmantle                       3.2   0.200    18.75 0  
HalfNevis                        10.0   0.670    61.85 0  
HighlandFling                    85.0   1.200   490.05 0 
IsleOfJura                       28.0   2.370   218.72 0 
IsleOfMull                       12.8   1.520   123.95 0 
KnockCrieff                       8.0   0.210    35.27 0 
Knockfarrel                       8.0   0.360    43.33 0  
LairigGhru                       43.0   0.640   212.63 0   
LargoLaw                         11.0   0.300    50.62 0   
LochLochyMunros                  21.0   1.325   166.27 0 
LomondsofFife                    16.0   0.750   107.92 0  
MaddyMoss                        10.0   0.760    53.17 0 
ManorWater                       16.0   0.700    73.80 0 
MeallABhuachaille                13.0   0.720    74.20 0 
Merrick                          13.6   1.000    78.77 0 
NorthBerwickLaw                   4.5   0.185    20.40 0  
Ochil                            32.7   1.650   171.55 0 
PentlandSkyline                  26.0   1.890   162.48 0 
RhenigidaleRace                  12.0   0.840    86.58 0 
RunOfTheMill                     14.7   0.910    78.68 0 
Scolty                            7.2   0.400    37.63 0  
SevensHillsEdinburgh             22.4   0.670   108.25 0  
SliochHorseshoe                  20.0   1.000   148.18 0 
Snowdon                          16.0   0.990    72.80 0 
StucAChroin                      22.0   1.500   160.72 0 
TraprainLaw                       9.7   0.190    41.22 0   
TrotternishRidge                 28.0   2.000   191.35 0  
TwoBreweries                     29.0   1.500   173.93 0 
TwoInns                          24.0   1.770   169.47 0  
Yetholm                          12.8   0.760    71.55 0 
